Title,Author,Genres,Publication Year,Popularity,Rank
Les Trois Mousquetaires,"Alexandre Dumas, Auguste Maquet","History, Fiction, Swordsmen, France in fiction, Vietnamese language books",1844,1102,30
The Mysterious Affair at Styles,Agatha Christie,"Fiction, Mystery, Crime Fiction, Mystery Thriller, Thriller",1920,1091,31
Ἰλιάς,Όμηρος,"Odysseus (Greek mythology), Juvenile poetry, Readers, Greeks, Poetry",1505,1084,32
Candide,"Voltaire, William Fleming, Philip Littell, Jack Davenport","Conduct of life, Readers, Literatura francesa, Satire, Fiction",1746,1079,33
Ὀδύσσεια,Όμηρος,"great_books_of_the_western_world, Poetry, Fiction, Classical literature, Open Library Staff Picks",1488,1061,34
Hard Times,Charles Dickens,"Fiction, Social problems, Utilitarianism, Education, Social life and customs",1854,1028,35
Captains Courageous,Rudyard Kipling,"Teenage boys, Fishers, Fiction, Interpersonal relations, Reading",1896,990,36
Romeo and Juliet,William Shakespeare,"Classical Literature, British and irish drama (dramatic works by one author), Conflicto entre generaciones, Conflict of generations, courtship",1597,975,37
The Sign of Four,Arthur Conan Doyle,"Crime & Mystery, classic fiction, Andamanese, arrow poisons, bloguns",1889,961,38
Macbeth,William Shakespeare,"Drama, Regicides, Kings and rulers, Texts, French-Canadian dialect",1508,957,39
Die Verwandlung,Franz Kafka,"Fantasy fiction, Children's fiction, Lectures et morceaux choisis, Fantastique, Nouvelles",1915,953,40
The Adventures of Tom Sawyer,Mark Twain,"The Adventures of Tom Sawyer, Mark Twain, 1835-1910, 19th Century, Historical",1817,879,41
David Copperfield,Charles Dickens,"British and irish drama (dramatic works by one author), Children's fiction, Orphans, fiction, England, fiction, Boys, fiction",1800,846,42
Anne's House of Dreams,Lucy Maud Montgomery,"Country life, Marriage, Juvenile fiction, Friendship, History",1917,822,43
The Cricket on the Hearth,Charles Dickens,"English Christmas stories, Short stories, Christmas stories, Social life and customs, Juvenile fiction",1846,774,44
The Prince and the Pauper,Mark Twain,"Readers, Fiction, Poor, Kings and rulers, Impostors and imposture",1881,755,45
The Blue Fairy Book,"Andrew Lang, Andrew Lang","Fairy tales, Folklore, Fiction, fantasy, general, Fiction, general, Fairy tales.",1889,752,46
Dracula,Bram Stoker,"English literature, Fiction, Horror, Horror stories, Horror tales",1897,736,47
Ozma of Oz,L. Frank Baum,"Fantasy, Children's stories, Children's stories, American, Juvenile fiction, Fairy tales",1907,701,48
Decamerone,Giovanni Boccaccio,"Fiction, historical, general, Europe, fiction, Fiction, Plague, Storytelling",1516,700,49
The Pilgrim's Progress,John Bunyan,"Bibliography, Readers, Fiction, Spiritual life, Church of England",1678,683,50
The Jungle,Upton Sinclair,"Slaughtering and slaughter-houses, Sociology, Lithuanian Americans, Fiction, Historical Fiction",1707,673,51
As a man thinketh,James Allen,"New Thought, Conduct of life, Miniature books, Specimens, Inspirational",1902,657,52
War and Peace,Лев Толстой,"Classic, History, Russian Empire, Fiction, Russia",1864,642,53
The Red Badge of Courage,Stephen Crane,"1783-1865, American Manuscripts, Cartoons and comics, Chancellorsville, Battle of, Chancellorsville, Va., 1863, Civil War, 1861-1865",1855,639,54
King Henry IV. Part 1,William Shakespeare,"Drama, History, In literature, Henry IV, King of England, 1367-1413, Fiction",1598,630,55
Dorothy and the Wizard in Oz,L. Frank Baum,"Fairy tales, Fiction, Oz (Imaginary place), Fantasy, Classic Literature",1908,622,56
Study Guide,SuperSummary,,2017,618,57
Jo's Boys,"Louisa May Alcott, Success Oceo","Fiction, Family life, Boarding schools, Schools, Classic Literature",1886,597,58
Eight cousins,Louisa May Alcott,"Fiction, Cousins, Orphans, Juvenile fiction, Family life",1874,596,59
The Invisible Man,H. G. Wells,"Ciencia-ficción, Classic Literature, Fiction, Mentally ill, Science Fiction & Fantasy",0,563,60
The Complete Life and Adventures of Santa Claus,L. Frank Baum,"Fantasy, Fiction, Juvenile Fiction, Science Fiction & Fantasy, Classic Literature",1902,560,61
Lorna Doone,R. D. Blackmore,"Readers, Fiction, Monmouth's Rebellion, 1685, Fiction, romance, historical, general, England, fiction",1656,556,62
Pollyanna,"Eleanor Hodgman Porter, Porter, Neil Reed, Lee Giles","Aunts, Cheerfulness, Classic Literature, Conduct of life, Family",1912,552,63
Book of common prayer,"Church of England, J. A. Maurault","Anglican Communion, Bible, Book of Common Prayer, Books of hours, Catechisms",1537,545,64
The Pickwick Papers,Charles Dickens,"Fiction, Men, Societies and clubs, Male friendship, Trials (Breach of promise)",1800,538,65
The Jungle Book,Rudyard Kipling,"Jungles, Fiction, Juvenile fiction, Animals, Romans, nouvelles, etc. pour la jeunesse",1893,538,66
The Riddle of the Sands,Erskine Childers,"Great britain, fiction, Fiction, action & adventure, Fiction, thrillers, espionage, Fiction, alternative history, Fiction, sea stories",1903,531,67
This Side of Paradise,F. Scott Fitzgerald,"Fiction, Romance, Historical"", Young men, fiction, World War, 1914-1918",1920,495,68
Metamorphoses,Ovid,"Poetry, Classical Mythology, Metamorphosis, Mythology, Latin Fables",1479,491,69
Wild Animal Coloring Book,Katty Green,,2020,479,70
Mrs. Dalloway,Virginia Woolf,"Fiction, Married women, Married women in fiction, Regret, Suicide victims in fiction",1925,476,71
The Book of Tea,"Okakura Kakuzō, Okakura Kakuzō, 高玮","Japanese tea ceremony, Social life and customs, Tea, Philosophy, Chadō",1900,474,72
As You Like It,William Shakespeare,"Drama, Fathers and daughters, Exiles, Juvenile drama, Stage history",1734,467,73
The War of the Worlds,H. G. Wells,"Imaginary wars and battles, Juvenile fiction, Space warfare, Science Fiction & Fantasy, Fiction",0,462,74
Inferno,Dante Alighieri,"Poetry, Hell, Illustrations, Iconography, Translations into English",1767,446,75
Nineteen Eighty-Four,George Orwell,"futurology, censorship, surveillance, rebels, sting operations",1949,439,76
The Phoenix and the Carpet,Edith Nesbit,"English Fantasy fiction, Magic, Brothers and sisters, Juvenile fiction, Great Britain in fiction",1903,438,77
The Great God Pan,Arthur Machen,"austin osman spare, arthur machen, pan, occult, esoteric",1894,431,78
The Woman in White,Wilkie Collins,"Fiction, mystery & detective, general, Apparitions, Social life and customs",1860,425,79
Vingt mille lieues sous les mers,Jules Verne,"Toy and movable books, Fiction, Specimens, Underwater exploration, French language",1870,383,80
Poems,William Wordsworth,"Gift books, Specimens, Facsimiles, English poetry, Children's poetry, English",1807,372,81
Meditations,Marcus Aurelius,"Early works to 1800, Philosophy, Stoics, Classic Literature, Fiction",1626,365,82
An Old-Fashioned Girl,Louisa May Alcott,"Conduct of life, Juvenile literature, Juvenile fiction, Fiction, Young women",1869,359,83
Fables,Jean de La Fontaine,"French Fables, Translations into English, Fables, Oversize books, Illustrations",1678,345,84
Lord Jim,Joseph Conrad,"Fiction, British, Officers, Merchant marine, Atonement",1900,344,85
The Secret Agent,Joseph Conrad,"Anarchists, fiction, Conspiracies, fiction, Bombings, fiction, Terrorism, fiction, Royal Greenwich Observatory, fiction",1907,335,86
The Age of Innocence,Edith Wharton,"Fiction, Triangles (Interpersonal relations), Upper class, Married people, Separated people",1920,301,87
Het Achterhuis,Anne Frank,"autobiographies, ethnic relations, Dutch literature, Jews-Netherlands, German occupation",1944,293,88
The complete poetical works,Robert Burns,"Biography, Children's poetry, Scottish, Correspondence, Criticism and interpretation, English Poets",1786,293,89
Milton's Poems,John Milton,"Bible, Criticism and interpretation, Elegiac poetry, Latin (Medieval and modern), English Manuscripts, English poetry",1605,292,90
Il Paradiso,Dante Alighieri,"Poetry, Heaven, Paradise, Heaven in literature, Bibliography",1595,291,91
Think and Grow Rich,"Napoleon Hill, Jonathan C. Young","Wealth, Success, Filosofía, Success in business, Éxito",1937,287,92
Measure for Measure,William Shakespeare,"Drama, Chastity, Brothers and sisters, Comedy, Problems, exercises",1700,285,93
The Sea-Wolf,Jack London,"Fiction, Ship captains, Sealing ships, Sealing ships in fiction, Ship captains in fiction",1900,283,94
La Peste,Albert Camus,"Fiction, Plague, Plague in literature, Epidemics, Peste bubónica",1942,280,95
Rose in Bloom,"Louisa May Alcott, Harriet Roosevelt Richards","Love, Family, Cousins, Fiction, Classic Literature",1876,257,96
Plays (36),William Shakespeare,"sources, English Manuscripts, English literature: Shakespeare texts, Classics, performing arts",1623,256,97
Moriæ Encomium,Desiderius Erasmus,"Aspectos religiosos, Bibliography, Catalogs, Christian literature, Latin (Medieval and modern), Christianity",1515,254,98
Voskresenīe,Лев Толстой,"Continental european fiction (fictional works by one author), Fiction, general, Fiction, historical, general, Russia (federation), fiction, Atonement -- Fiction",1899,250,99
"The History of Rasselas, Prince of Abyssinia",Samuel Johnson,"Ethiopia, fiction, British and irish fiction (fictional works by one author), Princes, Fiction, Happiness",1759,249,100
Just So Stories,Rudyard Kipling,"Animals, Children's stories, English, Short stories, Fiction, Fiction in English",1922,245,101
Cymbeline,William Shakespeare,"Drama, Fathers and daughters, Kings and rulers, Britons, Married people",1734,242,102
"The science of getting rich, or, financial success through creative thought","Wallace D. Wattles, Ruth L Miller, Patricia J. Crane, Rick Nichols","Success, Wealth, New Thought, Riqueza, Éxito",1910,235,103
Under the Lilacs,Louisa May Alcott,"Fiction, Juvenile literature, Dogs, Runaways in fiction, Dogs in fiction",1878,227,104
Πολιτικά (Politiká),Aristotle,"Politics and government, Incunabula, Aesthetics, Économie politique, Theory",1492,224,105
The Murder of Roger Ackroyd,Agatha Christie,"detective fiction, mystery, murder, investigation, victim",1926,220,106
All's Well That Ends Well,William Shakespeare,"Drama, Married women, Runaway husbands, Problems, exercises, English Young adult drama",1734,218,107
"Works [37 plays, 6 poems, sonnets]",William Shakespeare,"Early Modern and Elizabethan English Drama, English literature, English drama, English poetry, theatre",1730,213,108
What's wrong with the world,"Gilbert Keith Chesterton, CrossReach Publications","Social problems, Women, Suffrage, Feminism, Divorce",1910,213,109
The Enchanted April,Elizabeth von Arnim,"British in fiction, Open Library Staff Picks, Female friendship, British, Fiction",1922,209,110
Jack and Jill: a village story,"Louisa May Alcott, Amy Puetz, Harriet Roosevelt Richards, Jane Dyer","Fiction, Winter, Family life, Friendship, Children",1880,208,111
Les Contes de ma mère l'Oye,Charles Perrault,"Nursery rhymes, France, Children's stories, French, Fairy tales, Folklore",1675,206,112
Niebla,Miguel de Unamuno,"Spanish language, Readers, Fiction, Niebla (Unamuno, Miguel de), Fiction, general",1914,206,113
Five Little Peppers and How They Grew,Margaret Sidney,"Juvenile fiction, Fiction, Family life, Brothers and sisters, Poverty",1880,204,114
Ben Hur,Lew Wallace,"Fiction, Historical fiction, Fiction, christian, historical, Fiction, christian, classic & allegory, Fiction, historical, general",1800,201,115
Utopia,Thomas More,"Utopias, Proverbs, Bibliography, Utopías, Fiction",1518,198,116
Essays,Francis Bacon,"Aphorisms and apothegms, Classical Mythology, Early works to 1800, English essays, Good and evil",1618,188,117
Rebecca,Daphne du Maurier,"Married women, Cornwall (England : County), Remarriage, Remarried people, Fiction",1938,183,118
Sister Carrie,Theodore Dreiser,"American fiction (fictional works by one author), Chicago (ill.), fiction, New york (n.y.), fiction, Fiction, action & adventure, Young women, fiction",1900,173,119
Discours de la méthode,René Descartes,"Methodology, Science, Modern Philosophy, Early works to 1800, Méthodologie",1644,163,120
The Sun Also Rises,Ernest Hemingway,"Fiction, Historical, Expatriation, fiction, Americans, History, Brett Ashley (Fictitious character)",1926,162,121
"The Renaissance, Studies in Art and Poetry",Walter Pater,"Renaissance Arts, Ut pictura poesis (Aesthetics), Renaissance, Nonfiction, Italy",1873,156,122
C. Iulii Caesaris Commentarii de bello gallico,"Gaius Julius Caesar, Marieluise Deißmann","History, Readers, Latin language, Latin, Histoire",1570,146,123
The Martian Chronicles,Ray Bradbury,"American Science fiction, Ciencia-ficción, Drama, English Language Short stories, Ficción",1950,138,124
Slaughterhouse-Five,Kurt Vonnegut,"American science fiction, bombing of Dresden, Open Library staff picks, military fiction, war stories",1968,131,125
The Ugly Duckling,Hans Christian Andersen,"Ducklings, Swans, Juvenile literature, Fairy tales, Translations into English",1851,122,126
Der Einzige und sein Eigentum,Max Stirner,"Egoism, Individualism, Anarchism, Individualist anarchism, Philosophers, germany",1845,116,127
Strong Poison,Dorothy L. Sayers,"Women detectives, English Detective and mystery stories, Translations into Russian, Harriet Vane (Fictitious character), Private investigators",1930,115,128
"One, Two, Buckle My Shoe",Agatha Christie,"Fiction, Hercule Poirot (Fictitious character), Private investigators, Chief Inspector Japp (Fictitious character), English Detective and mystery stories",1940,104,129
A dictionary of the English language,Samuel Johnson,"English language, Dictionaries, Early works to 1800, Lexicography, Grammar",1747,104,130
Diary of a Wimpy Kid,Jeff Kinney,"School stories, Families, Diaries, Middle schools, Family life",2002,99,131
The Mammoth Hunters,Jean M. Auel,"Fiction, Prehistoric peoples, Ayla (Fictitious character), Glacial epoch, Roman",1611,95,132
Deception Point,Dan Brown,"mystery fiction, adventure fiction, literature, Meteors, Conspiracies",2001,92,133
Aesop's Fables,Aesop,"Fables, Animals, great_books_of_the_western_world, open_syllabus_project, Children's stories",1848,91,134
The Caine mutiny,Herman Wouk,"World War, 1939-1945, Fiction, American Naval operations, Fiction in English, Naval History",1951,88,135
Storm Island,Ken Follett,"English Spy stories, Fiction, German Espionage, Germans, Islands",1978,83,136
Stranger in a Strange Land,Robert A. Heinlein,"Hugo Award Winner, award:hugo_award=1962, award:hugo_award=novel, Fiction, Fiction in English",1961,80,137
The 7 Habits of Highly Effective People,"Stephen R. Covey, Sean Covey","Success- Psychological aspects, Character, Success, Psychological aspects, Aspectos psicológicos",1989,77,138
Memoirs of a Geisha,Arthur Golden,"Social life and customs, Literature, Open Library Staff Picks, Prostitution, Fiction",1997,73,139
The Sea of Monsters,Rick Riordan,"Serie:Percy_Jackson_and_the_Olympians, Fiction, Fantasy, Greek Mythology, Juvenile fiction",2006,72,140
Frog and Toad Together,Arnold Lobel,"amistad, animals, best friends, children's fiction, children's short stories in english",1971,70,141
The Yearling,Marjorie Kinnan Rawlings,"3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade",1938,65,142
Prey,Michael Crichton,"programmers, nanorobotics, reproduction, evolution, predation",2002,65,143
When we were very young,A. A. Milne,"Children's poetry, Children's poetry, English, Collected works, Collections, English poetry",1924,63,144
The Battle of the Labyrinth,Rick Riordan,"Serie:Percy_Jackson_and_the_Olympians, Greek Mythology, Juvenile fiction, Fiction, Monsters in fiction",2008,62,145
The Internet for Dummies,"John R. Levine, Carol Baroudi, Margaret Levine Young, Arnold Reinhold, Hy Bender, Geoff Ebbs","Internet, Computer networks, Handbooks, manuals, Internet (Red informática), Redes informáticas",1993,62,146
The anatomy of melancholy,Robert Burton,"Early works to 1800, Manic-depressive illness, Melancholy, Mental Depression, Mental health",1624,60,147
Everything's Eventual. 14 Dark Tales,Stephen King,"Apple computers, dementia, fantasy, garbage disposal units, convenience stores",2002,60,148
Sahara,Clive Cussler,"Pitt, Dirk (Personaje literario), Open Library Staff Picks, Dirk Pitt (Fictitious character), Contaminación, Fiction",1982,57,149
The Last Olympian,Rick Riordan,"Serie:Percy_Jackson_and_the_Olympians, Fiction, Greek Mythology, Monsters, Mythical Animals",2009,57,150
Insomnia,Stephen King,"Bram Stoker Award for Best Novel, suspense, Suspense Thriller, Open Library Staff Picks, Horror",1994,57,151
"I, Claudius",Robert Graves,"Literature, Emperadores, Fiction in English, Biographical fiction, Emperors",1934,56,152
Dreamcatcher,Stephen King,"male friendship, life on other planets, telepathy, Down Syndrome, psychological fiction",2001,55,153
A Brief History Of The United States,"Allan Nevins, Henry Steele Commager, Jeffrey Morris","History, Histoire, Nonfiction, American History, Science politique",1942,55,154
The Bad Place,Dean Koontz,"Private investigators, Murder, Amnesia, Psychokinesis, Fugue (Psychology)",1901,53,155
Sex and the City,Candace Bushnell,"Fiction, general, Social life and customs, Costumbres sexuales, Man-woman relationships, Relaciones hombre-mujer",1996,53,156
Frederick,Leo Lionni,"Children's stories, Fairy tales, Juvenile fiction, Mice, Mice in fiction",1963,52,157
The Secret History,Donna Tartt,"Fiction, College students, Teacher-student relationships, Classicists, Murder",1992,52,158
The Third Wheel,Jeff Kinney,"Humorous stories, Families, Middle schools, Diaries, Dance parties",2003,51,159
Eaters of the Dead,Michael Crichton,"adaptations, fiction, vikings, historical fiction, fantasy fiction",1976,50,160
Hannibal,Thomas Harris,"Fiction, Government investigators, Revenge, Fugitives from justice, Serial murderers",1999,48,161
Barbie Horse Trouble Barbie Look Look,Golden Books,"Horses, Juvenile fiction, Children: Kindergarten, Children: Grades 1-2, Animals",1921,48,162
The Kitchen God's Wife,Amy Tan,"Chinese fiction, Family, Fiction, California, fiction, China, fiction",1991,46,163
Where Are the Children?,Mary Higgins Clark,"Fiction, thrillers, general, Fiction, espionage, Death, Missing children, Open Library Staff Picks",1975,43,164
Love You Forever,Robert N Munsch,"Juvenile fiction, Children's Books/Baby-Preschool, Fiction, Parent and child, Love",1986,39,165
To Be a Slave (Plus),"Julius Lester, Julius Lester","Slaves, Social conditions, Biography, Slave trade, Quotations",1968,28,166
A single shard,Linda Sue Park,"Pottery, Newbery Medal, Fiction, Orphans, Juvenile fiction",2001,27,167
The Best of Me,Nicholas Sparks,"New York Times bestseller, First loves, Fiction, nyt:hardcover_fiction=2012-02-18, Man-woman relationships",2011,24,168
The Best Christmas Pageant Ever,Barbara Robinson,"Brothers and sisters, Aunts, Dysfunctional families, Christmas pageants, Juvenile fiction",1972,18,169
Clarity - Shadowhunters Rune Journal Blank Notebook,Best Books,,2017,1,170
I'm Not a Mundane - Shadowhunters Journal Blank Notebook,Best Books,,2017,1,171
Don't Touch My Journal Mundane - Shadowhunters Journal Blank Notebook,Best Books,,2017,1,172
Angelic Power - Shadowhunters Rune Journal Blank Notebook,Best Books,,2017,1,173
Heal - Shadowhunters Rune Journal Blank Notebook,Best Books,,2017,1,174
Equilibrium - Shadowhunters Rune Journal Blank Notebook,Best Books,,2017,1,175
Composition Notebook with Flowers,Best Books,,2017,1,176
Apex Legends : MALBUCH,bESt bESt bOOks,,2020,1,177
Soundless - Shadowhunters Rune Journal Blank Notebook,Best Books,,2017,1,178
Mortal Instruments City of Bones - Shadowhunters Journal Blank Notebook,Best Books,,2017,1,179
Destined - Shadowhunters Rune Journal Blank Notebook,Best Books,,2017,1,180
I Am an Artist,best books,,2018,1,181
Voyance - Shadowhunters Rune Journal Blank Notebook,Best Books,,2017,1,182
Speak in Tongues - Shadowhunters Rune Journal Blank Notebook,Best Books,,2017,1,183
Mortal Kombat : MALBUCH,bESt bESt bOOks,,2020,1,184
Coloring Book Full of Apex Legends,bESt bESt bOOks,,2020,1,185
Understanding - Shadowhunters Rune Journal Blank Notebook,Best Books,,2017,1,186
Prosperity - Shadowhunters Rune Journal Blank Notebook,Best Books,,2017,1,187
"Talk Less, Smile More - Hamilton Journal Blank Notebook",Best Books,,2017,1,188
Fortitude - Shadowhunters Rune Journal Blank Notebook,Best Books,,2017,1,189
I Am Not Throwing Away My Shot - Hamilton Journal Notebook,Best Books,,2017,1,190
Insight - Shadowhunters Rune Journal Blank Notebook,Best Books,,2017,1,191
Best Pre-K Books,Best Books,,2017,1,192
Talent - Shadowhunters Rune Journal Blank Notebook,Best Books,,2017,1,193
Endurance - Shadowhunters Rune Journal Blank Notebook,Best Books,,2017,1,194
Heightened Speed - Shadowhunters Rune Journal Blank Notebook,Best Books,,2017,1,195
Deflect - Shadowhunters Rune Journal Blank Notebook,Best Books,,2017,1,196
Trust - Shadowhunters Rune Journal Blank Notebook,Best Books,,2017,1,197
Write Like You're Running Out of Time - Hamilton Journal Notebook,Best Books,,2017,1,198
Friendship - Shadowhunters Parabatai Rune Journal Blank Notebook,Best Books,,2017,1,199
Awesome Wow - Hamilton Journal Blank Notebook,Best Books,,2017,1,200
