Title,Author,Genres,Publication Year,Popularity,Rank
David Copperfield,Charles Dickens,"british and irish drama (dramatic works by one author), children's fiction, orphans, fiction, england, fiction, boys, fiction",1800,846,42
Anne's House of Dreams,Lucy Maud Montgomery,"country life, marriage, fiction, friendship, history",1917,822,43
The Cricket on the Hearth,Charles Dickens,"english christmas stories, short stories, christmas stories, social life and customs, fiction",1846,774,44
The Prince and the Pauper,Mark Twain,", fiction, poor, kings and rulers, impostors and imposture",1881,755,45
The Blue Fairy Book,"Andrew Lang, Andrew Lang","fairy tales, folklore, fiction, fantasy, general, fairy tales.",1889,752,46
Dracula,Bram Stoker,"english literature, fiction, horror, horror stories, horror tales",1897,736,47
Ozma of Oz,L. Frank Baum,"fantasy, , american, fiction, fairy tales",1907,701,48
Decamerone,Giovanni Boccaccio,"fiction, historical, general, europe, fiction, fiction, plague, storytelling",1516,700,49
The Pilgrim's Progress,John Bunyan,"bibliography, fiction, spiritual life, church of england",1678,683,50
The Jungle,Upton Sinclair,"slaughtering and slaughter-houses, sociology, lithuanian americans, fiction, historical fiction",1707,673,51
As a man thinketh,James Allen,"new thought, conduct of life, miniature books, inspirational",1902,657,52
War and Peace,Лев Толстой,"classic, history, russian empire, fiction, russia",1864,642,53
The Red Badge of Courage,Stephen Crane,"1783-1865, american manuscripts, cartoons and comics, chancellorsville, battle of, chancellorsville, va., 1863, civil war, 1861-1865",1855,639,54
King Henry IV. Part 1,William Shakespeare,"drama, history, in literature, henry iv, king of england, 1367-1413, fiction",1598,630,55
Dorothy and the Wizard in Oz,L. Frank Baum,"fairy tales, fiction, oz (imaginary place), fantasy, classic literature",1908,622,56
Jo's Boys,"Louisa May Alcott, Success Oceo","fiction, family life, boarding schools, schools, classic literature",1886,597,58
Eight cousins,Louisa May Alcott,"fiction, cousins, orphans, fiction, family life",1874,596,59
The Invisible Man,H. G. Wells,"ciencia-ficción, classic literature, fiction, mentally ill, science fiction & fantasy",0,563,60
The Complete Life and Adventures of Santa Claus,L. Frank Baum,"fantasy, fiction, fiction, science fiction & fantasy, classic literature",1902,560,61
Lorna Doone,R. D. Blackmore,", fiction, monmouth's rebellion, 1685, fiction, romance, historical, general, england, fiction",1656,556,62
Pollyanna,"Eleanor Hodgman Porter, Porter, Neil Reed, Lee Giles","aunts, cheerfulness, classic literature, conduct of life, family",1912,552,63
Book of common prayer,"Church of England, J. A. Maurault","anglican communion, bible, book of common prayer, books of hours, catechisms",1537,545,64
The Pickwick Papers,Charles Dickens,"fiction, men, societies and clubs, male friendship, trials (breach of promise)",1800,538,65
The Jungle Book,Rudyard Kipling,"jungles, fiction, fiction, animals, romans, nouvelles, etc. pour la jeunesse",1893,538,66
The Riddle of the Sands,Erskine Childers,"great britain, fiction, fiction, action & adventure, fiction, thrillers, espionage, fiction, alternative history, fiction, sea stories",1903,531,67
This Side of Paradise,F. Scott Fitzgerald,"fiction, romance, historical"", young men, fiction, world war, 1914-1918",1920,495,68
Metamorphoses,Ovid,"poetry, classical mythology, metamorphosis, mythology, latin fables",1479,491,69
Mrs. Dalloway,Virginia Woolf,"fiction, married women, married women in fiction, regret, suicide victims in fiction",1925,476,71
The Book of Tea,"Okakura Kakuzō, Okakura Kakuzō, 高玮","japanese tea ceremony, social life and customs, tea, philosophy, chadō",1900,474,72
As You Like It,William Shakespeare,"drama, fathers and daughters, exiles, drama, stage history",1734,467,73
The War of the Worlds,H. G. Wells,"imaginary wars and battles, fiction, space warfare, science fiction & fantasy, fiction",0,462,74
Inferno,Dante Alighieri,"poetry, hell, illustrations, iconography,",1767,446,75
Nineteen Eighty-Four,George Orwell,"futurology, censorship, surveillance, rebels, sting operations",1949,439,76
The Phoenix and the Carpet,Edith Nesbit,"english fantasy fiction, magic, brothers and sisters, fiction, great britain in fiction",1903,438,77
The Great God Pan,Arthur Machen,"austin osman spare, arthur machen, pan, occult, esoteric",1894,431,78
The Woman in White,Wilkie Collins,"fiction, mystery & detective, general, apparitions, social life and customs",1860,425,79
Vingt mille lieues sous les mers,Jules Verne,"toy and movable books, fiction, underwater exploration, french language",1870,383,80
Poems,William Wordsworth,"gift books, facsimiles, english poetry, children's poetry, english",1807,372,81
Meditations,Marcus Aurelius,", philosophy, stoics, classic literature, fiction",1626,365,82
An Old-Fashioned Girl,Louisa May Alcott,"conduct of life, literature, fiction, fiction, young women",1869,359,83
Fables,Jean de La Fontaine,"french fables, fables, oversize books, illustrations",1678,345,84
Lord Jim,Joseph Conrad,"fiction, british, officers, merchant marine, atonement",1900,344,85
The Secret Agent,Joseph Conrad,"anarchists, fiction, conspiracies, fiction, bombings, fiction, terrorism, fiction, royal greenwich observatory, fiction",1907,335,86
The Age of Innocence,Edith Wharton,"fiction, triangles (interpersonal relations), upper class, married people, separated people",1920,301,87
Het Achterhuis,Anne Frank,"autobiographies, ethnic relations, dutch literature, jews-netherlands, german occupation",1944,293,88
The complete poetical works,Robert Burns,"biography, children's poetry, scottish, correspondence, criticism and interpretation, english poets",1786,293,89
Milton's Poems,John Milton,"bible, criticism and interpretation, elegiac poetry, latin (medieval and modern), english manuscripts, english poetry",1605,292,90
Il Paradiso,Dante Alighieri,"poetry, heaven, paradise, heaven in literature, bibliography",1595,291,91
Think and Grow Rich,"Napoleon Hill, Jonathan C. Young","wealth, success, filosofía, success in business, éxito",1937,287,92
Measure for Measure,William Shakespeare,"drama, chastity, brothers and sisters, comedy, problems, exercises",1700,285,93
The Sea-Wolf,Jack London,"fiction, ship captains, sealing ships, sealing ships in fiction, ship captains in fiction",1900,283,94
La Peste,Albert Camus,"fiction, plague, plague in literature, epidemics, peste bubónica",1942,280,95
Rose in Bloom,"Louisa May Alcott, Harriet Roosevelt Richards","love, family, cousins, fiction, classic literature",1876,257,96
Plays (36),William Shakespeare,"sources, english manuscripts, english literature: shakespeare texts, classics, performing arts",1623,256,97
Moriæ Encomium,Desiderius Erasmus,"aspectos religiosos, bibliography, catalogs, christian literature, latin (medieval and modern), christianity",1515,254,98
Voskresenīe,Лев Толстой,"continental european fiction (fictional works by one author), fiction, historical, general, russia (federation), fiction, atonement -- fiction",1899,250,99
"The History of Rasselas, Prince of Abyssinia",Samuel Johnson,"ethiopia, fiction, british and irish fiction (fictional works by one author), princes, fiction, happiness",1759,249,100
Just So Stories,Rudyard Kipling,"animals, english, short stories, fiction, fiction in english",1922,245,101
Cymbeline,William Shakespeare,"drama, fathers and daughters, kings and rulers, britons, married people",1734,242,102
"The science of getting rich, or, financial success through creative thought","Wallace D. Wattles, Ruth L Miller, Patricia J. Crane, Rick Nichols","success, wealth, new thought, riqueza, éxito",1910,235,103
Under the Lilacs,Louisa May Alcott,"fiction, literature, dogs, runaways in fiction, dogs in fiction",1878,227,104
Πολιτικά (Politiká),Aristotle,"politics and government, incunabula, aesthetics, économie politique, theory",1492,224,105
The Murder of Roger Ackroyd,Agatha Christie,"detective fiction, mystery, murder, investigation, victim",1926,220,106
All's Well That Ends Well,William Shakespeare,"drama, married women, runaway husbands, problems, exercises, english young adult drama",1734,218,107
"Works [37 plays, 6 poems, sonnets]",William Shakespeare,"early modern and elizabethan english drama, english literature, english drama, english poetry, theatre",1730,213,108
What's wrong with the world,"Gilbert Keith Chesterton, CrossReach Publications","social problems, women, suffrage, feminism, divorce",1910,213,109
The Enchanted April,Elizabeth von Arnim,"british in fiction, open library staff picks, female friendship, british, fiction",1922,209,110
Jack and Jill: a village story,"Louisa May Alcott, Amy Puetz, Harriet Roosevelt Richards, Jane Dyer","fiction, winter, family life, friendship, children",1880,208,111
Les Contes de ma mère l'Oye,Charles Perrault,"nursery rhymes, france, french, fairy tales, folklore",1675,206,112
Niebla,Miguel de Unamuno,"spanish language, fiction, niebla (unamuno, miguel de),",1914,206,113
Five Little Peppers and How They Grew,Margaret Sidney,"fiction, fiction, family life, brothers and sisters, poverty",1880,204,114
Ben Hur,Lew Wallace,"fiction, historical fiction, fiction, christian, historical, fiction, christian, classic & allegory, fiction, historical, general",1800,201,115
Utopia,Thomas More,"utopias, proverbs, bibliography, utopías, fiction",1518,198,116
Essays,Francis Bacon,"aphorisms and apothegms, classical mythology, english essays, good and evil",1618,188,117
Rebecca,Daphne du Maurier,"married women, cornwall (england : county), remarriage, remarried people, fiction",1938,183,118
Sister Carrie,Theodore Dreiser,"american fiction (fictional works by one author), chicago (ill.), fiction, new york (n.y.), fiction, fiction, action & adventure, young women, fiction",1900,173,119
Discours de la méthode,René Descartes,"methodology, science, modern philosophy, méthodologie",1644,163,120
The Sun Also Rises,Ernest Hemingway,"fiction, historical, expatriation, fiction, americans, history, brett ashley (fictitious character)",1926,162,121
"The Renaissance, Studies in Art and Poetry",Walter Pater,"renaissance arts, ut pictura poesis (aesthetics), renaissance, nonfiction, italy",1873,156,122
C. Iulii Caesaris Commentarii de bello gallico,"Gaius Julius Caesar, Marieluise Deißmann","history, latin language, latin, histoire",1570,146,123
The Martian Chronicles,Ray Bradbury,"american science fiction, ciencia-ficción, drama, english language short stories, ficción",1950,138,124
Slaughterhouse-Five,Kurt Vonnegut,"american science fiction, bombing of dresden, open library staff picks, military fiction, war stories",1968,131,125
The Ugly Duckling,Hans Christian Andersen,"ducklings, swans, literature, fairy tales,",1851,122,126
Der Einzige und sein Eigentum,Max Stirner,"egoism, individualism, anarchism, individualist anarchism, philosophers, germany",1845,116,127
Strong Poison,Dorothy L. Sayers,"women detectives, english detective and mystery stories, translations into russian, harriet vane (fictitious character), private investigators",1930,115,128
"One, Two, Buckle My Shoe",Agatha Christie,"fiction, hercule poirot (fictitious character), private investigators, chief inspector japp (fictitious character), english detective and mystery stories",1940,104,129
A dictionary of the English language,Samuel Johnson,"english language, dictionaries, lexicography, grammar",1747,104,130
Diary of a Wimpy Kid,Jeff Kinney,"school stories, families, diaries, middle schools, family life",2002,99,131
The Mammoth Hunters,Jean M. Auel,"fiction, prehistoric peoples, ayla (fictitious character), glacial epoch, roman",1611,95,132
Deception Point,Dan Brown,"mystery fiction, adventure fiction, literature, meteors, conspiracies",2001,92,133
Aesop's Fables,Aesop,"fables, animals, great_books_of_the_western_world, open_syllabus_project,",1848,91,134
The Caine mutiny,Herman Wouk,"world war, 1939-1945, fiction, american naval operations, fiction in english, naval history",1951,88,135
Storm Island,Ken Follett,"english spy stories, fiction, german espionage, germans, islands",1978,83,136
Stranger in a Strange Land,Robert A. Heinlein,"hugo award winner, award:hugo_award=1962, award:hugo_award=novel, fiction, fiction in english",1961,80,137
The 7 Habits of Highly Effective People,"Stephen R. Covey, Sean Covey","success- psychological aspects, character, success, psychological aspects, aspectos psicológicos",1989,77,138
Memoirs of a Geisha,Arthur Golden,"social life and customs, literature, open library staff picks, prostitution, fiction",1997,73,139
The Sea of Monsters,Rick Riordan,"serie:percy_jackson_and_the_olympians, fiction, fantasy, greek mythology, fiction",2006,72,140
Frog and Toad Together,Arnold Lobel,"amistad, animals, best friends, children's fiction, children's short stories in english",1971,70,141
The Yearling,Marjorie Kinnan Rawlings,"3rd grade, 4th grade, 5th grade, 6th grade, 7th grade",1938,65,142
Prey,Michael Crichton,"programmers, nanorobotics, reproduction, evolution, predation",2002,65,143
When we were very young,A. A. Milne,"children's poetry, children's poetry, english, collected works, collections, english poetry",1924,63,144
The Battle of the Labyrinth,Rick Riordan,"serie:percy_jackson_and_the_olympians, greek mythology, fiction, fiction, monsters in fiction",2008,62,145
The anatomy of melancholy,Robert Burton,", manic-depressive illness, melancholy, mental depression, mental health",1624,60,147
Everything's Eventual. 14 Dark Tales,Stephen King,"apple computers, dementia, fantasy, garbage disposal units, convenience stores",2002,60,148
Sahara,Clive Cussler,"pitt, dirk (personaje literario), open library staff picks, dirk pitt (fictitious character), contaminación, fiction",1982,57,149
The Last Olympian,Rick Riordan,"serie:percy_jackson_and_the_olympians, fiction, greek mythology, monsters, mythical animals",2009,57,150
Insomnia,Stephen King,"bram stoker award for best novel, suspense, suspense thriller, open library staff picks, horror",1994,57,151
"I, Claudius",Robert Graves,"literature, emperadores, fiction in english, biographical fiction, emperors",1934,56,152
Dreamcatcher,Stephen King,"male friendship, life on other planets, telepathy, down syndrome, psychological fiction",2001,55,153
A Brief History Of The United States,"Allan Nevins, Henry Steele Commager, Jeffrey Morris","history, histoire, nonfiction, american history, science politique",1942,55,154
The Bad Place,Dean Koontz,"private investigators, murder, amnesia, psychokinesis, fugue (psychology)",1901,53,155
Sex and the City,Candace Bushnell,", social life and customs, costumbres sexuales, man-woman relationships, relaciones hombre-mujer",1996,53,156
Frederick,Leo Lionni,", fairy tales, fiction, mice, mice in fiction",1963,52,157
The Secret History,Donna Tartt,"fiction, college students, teacher-student relationships, classicists, murder",1992,52,158
The Third Wheel,Jeff Kinney,"humorous stories, families, middle schools, diaries, dance parties",2003,51,159
Eaters of the Dead,Michael Crichton,"adaptations, fiction, vikings, historical fiction, fantasy fiction",1976,50,160
Hannibal,Thomas Harris,"fiction, government investigators, revenge, fugitives from justice, serial murderers",1999,48,161
Barbie Horse Trouble Barbie Look Look,Golden Books,"horses, fiction, children: kindergarten, children: grades 1-2, animals",1921,48,162
The Kitchen God's Wife,Amy Tan,"chinese fiction, family, fiction, california, fiction, china, fiction",1991,46,163
Where Are the Children?,Mary Higgins Clark,"fiction, thrillers, general, fiction, espionage, death, missing children, open library staff picks",1975,43,164
Love You Forever,Robert N Munsch,"fiction, children's books/baby-preschool, fiction, parent and child, love",1986,39,165
To Be a Slave (Plus),"Julius Lester, Julius Lester","slaves, social conditions, biography, slave trade, quotations",1968,28,166
A single shard,Linda Sue Park,"pottery, newbery medal, fiction, orphans, fiction",2001,27,167
The Best of Me,Nicholas Sparks,"new york times bestseller, first loves, fiction, nyt:hardcover_fiction=2012-02-18, man-woman relationships",2011,24,168
The Best Christmas Pageant Ever,Barbara Robinson,"brothers and sisters, aunts, dysfunctional families, christmas pageants, fiction",1972,18,169
I Am an Artist,best books,,2018,1,181
Best Pre-K Books,Best Books,,2017,1,192
